"tract","Name","Teenage_Birth_Rate_women_only_rP_gF_p25"
24510250204,"Cherry Hill, Baltimore, MD",0.6414
24510280500,"Pleasant View Gardens, Baltimore, MD",0.638
24510100200,"Baltimore, MD",0.6253
24510271102,"Mid-Charles, Baltimore, MD",0.6247
24510200100,"Lexington, Baltimore, MD",0.6194
24510120400,"Barclay, Baltimore, MD",0.6167
24510080200,"Broadway East, Baltimore, MD",0.6045
24510271802,"Langston Hughes, Baltimore, MD",0.6038
24510090900,"Oliver, Baltimore, MD",0.5995
24510080600,"Broadway East, Baltimore, MD",0.5981
24510080302,"Berea, Baltimore, MD",0.5956
24510080800,"Broadway East, Baltimore, MD",0.5943
24510170200,"McCulloh Homes, Baltimore, MD",0.5922
24510090700,"Coldstream - Homestead - Montebello, Baltimore, MD",0.5856
24510200400,"Shipley Hill, Baltimore, MD",0.5836
24510170300,"Upton, Baltimore, MD",0.5829
24510060300,"Butchers Hill, Baltimore, MD",0.5808
24510260403,"Cedonia, Baltimore, MD",0.5795
24510070200,"Madison - Eastend, Baltimore, MD",0.5791
24510110200,"Downtown, Baltimore, MD",0.5753
24510090400,"Better Waverly, Baltimore, MD",0.5732
24510080700,"Broadway East, Baltimore, MD",0.5731
24510080102,"Belair - Edison, Baltimore, MD",0.5724
24510271001,"Baltimore, MD",0.5722
24510070400,"Gay Street, Baltimore, MD",0.57
24510030100,"Perkins Homes, Baltimore, MD",0.5697
24510090800,"East Baltimore Midway, Baltimore, MD",0.5693
24510160300,"Sandtown-Winchester, Baltimore, MD",0.569
24510080500,"Darley Park, Baltimore, MD",0.5647
24510160600,"Mosher, Baltimore, MD",0.5635
24510130300,"Penn North, Baltimore, MD",0.5632
24510030200,"Little Italy, Baltimore, MD",0.5587
24510200300,"Bentalou-Smallwood, Baltimore, MD",0.557
24510150200,"Sandtown-Winchester, Baltimore, MD",0.5569
24510150500,"Burleith-Leighton, Baltimore, MD",0.556
24510100100,"Johnson Square, Baltimore, MD",0.5553
