"tract","Name","Teenage_Birth_Rate_women_only_rP_gF_p25"
12086001501,"Model City, Miami, FL",0.55
12086007200,"Coconut Grove, Miami, FL",0.5497
12086003400,"Overtown, Miami, FL",0.5416
12086001004,"Miami, FL",0.539
12086001903,"Model City, Miami, FL",0.5384
12086001502,"Miami, FL",0.5259
12086003100,"Overtown, Miami, FL",0.5245
12086001904,"Model City, Miami, FL",0.5051
12086001803,"Brownsville, Miami, FL",0.5046
12086007603,"South Miami, FL",0.5041
12086001901,"Model City, Miami, FL",0.4872
12086001701,"Brownsville, Miami, FL",0.487
12086001002,"Miami, FL",0.4816
12086001802,"Miami, FL",0.476
12086002300,"Model City, Miami, FL",0.4692
12086001801,"Brownsville, Miami, FL",0.4605
12086009400,"Miami Gardens, FL",0.4605
12086001005,"Miami, FL",0.4594
12086001003,"Miami, FL",0.4569
12086007101,"Coconut Grove, Miami, FL",0.4396
12086001702,"Brownsville, Miami, FL",0.439
12086000501,"Miami Gardens, FL",0.4385
12086000403,"Opa-locka, FL",0.4365
12086000402,"Miami Gardens, FL",0.4318
12086002202,"Little Haiti, Miami, FL",0.4281
12086000503,"Opa-locka, FL",0.413
12086000412,"Miami, FL",0.4078
12086000903,"Miami, FL",0.4037
12086002800,"Wynwood, Miami, FL",0.4017
12086000504,"Opa-locka, FL",0.4001
12086009504,"Miami, FL",0.3975
12086002600,"Wynwood, Miami, FL",0.3965
12086010006,"Miami Gardens, FL",0.3917
12086003001,"Overtown, Miami, FL",0.389
12086002003,"Little Haiti, Miami, FL",0.3822
12086000414,"Miami, FL",0.3815
12086003601,"Overtown, Miami, FL",0.3813
12086000408,"Miami, FL",0.3638
12086000902,"Miami, FL",0.357
12086002900,"Allapattah, Miami, FL",0.3566
12086009503,"Miami Gardens, FL",0.348
12086001006,"Miami, FL",0.3444
12086002001,"Little River, Miami, FL",0.3432
12086000404,"Miami, FL",0.3382
12086002502,"Allapattah, Miami, FL",0.332
12086009501,"Miami, FL",0.3313
12086002404,"Allapattah, Miami, FL",0.3307
12086002201,"Little Haiti, Miami, FL",0.3306
12086007801,"Miami, FL",0.3257
12086000124,"North Miami, FL",0.3229
12086002403,"Allapattah, Miami, FL",0.3189
12086005302,"East Little Havana, Miami, FL",0.3183
12086001401,"Little Haiti, Miami, FL",0.3157
12086002501,"Allapattah, Miami, FL",0.3133
12086005201,"Little Havana, Miami, FL",0.3123
12086000411,"Miami, FL",0.3082
12086000217,"North Miami, FL",0.3075
12086003702,"Downtown Miami, Miami, FL",0.3007
12086000901,"Miami, FL",0.2969
12086002402,"Allapattah, Miami, FL",0.2964
12086000212,"North Miami Beach, FL",0.2958
12086000409,"Miami, FL",0.2952
12086002004,"Little Haiti, Miami, FL",0.2945
12086002703,"Edgewater, Miami, FL",0.2924
12086003003,"Allapattah, Miami, FL",0.2903
12086000413,"Miami, FL",0.2885
12086000206,"North Miami Beach, FL",0.2884
12086010005,"Miami Gardens, FL",0.2837
12086005303,"East Little Havana, Miami, FL",0.2783
12086000220,"North Miami, FL",0.2762
12086000301,"Miami, FL",0.2749
12086003004,"Allapattah, Miami, FL",0.2749
12086005202,"East Little Havana, Miami, FL",0.2717
12086004203,"West Avenue, Miami Beach, FL",0.2693
12086000215,"Miami, FL",0.2689
12086001104,"Miami Shores, FL",0.2688
12086000405,"North Miami, FL",0.268
12086000218,"North Miami, FL",0.2641
12086000219,"North Miami, FL",0.2637
12086000209,"North Miami, FL",0.2628
12086001301,"Upper East Side, Miami, FL",0.2596
12086005410,"Little Havana, Miami, FL",0.2596
12086005304,"East Little Havana, Miami, FL",0.2588
12086000308,"Miami, FL",0.2567
12086001402,"Little Haiti, Miami, FL",0.2552
12086000305,"North Miami, FL",0.2527
12086005406,"Little Havana, Miami, FL",0.2501
12086000211,"North Miami Beach, FL",0.2501
12086001703,"Miami, FL",0.25
12086002702,"Edgewater, Miami, FL",0.25
12086000204,"North Miami Beach, FL",0.2494
12086001103,"Miami, FL",0.249
12086000608,"Hialeah, FL",0.2479
12086001101,"Miami Shores, FL",0.2464
12086013700,"Hialeah, FL",0.2457
12086013500,"Hialeah, FL",0.2457
12086000306,"North Miami, FL",0.2455
12086005103,"Little Havana, Miami, FL",0.2425
12086007606,"Miami, FL",0.2417
12086001302,"Upper East Side, Miami, FL",0.2412
12086000307,"North Miami, FL",0.2401
12086001203,"Miami, FL",0.2401
12086004901,"Flagami, Miami, FL",0.2383
12086000410,"North Miami, FL",0.2382
12086000202,"North Miami Beach, FL",0.2371
12086012000,"Hialeah, FL",0.2364
12086004403,"Flamingo / Lummus, Miami Beach, FL",0.2326
12086005104,"Little Havana, Miami, FL",0.2321
12086005102,"Little Havana, Miami, FL",0.2319
12086005409,"Little Havana, Miami, FL",0.228
12086000302,"Miami, FL",0.2268
12086000808,"Hialeah, FL",0.2258
12086005501,"Little Havana, Miami, FL",0.2258
12086006403,"Coral Way, Miami, FL",0.2231
12086001606,"Hialeah, FL",0.22
12086006402,"Coral Way, Miami, FL",0.2194
12086009307,"Hialeah, FL",0.2181
12086000216,"North Miami Beach, FL",0.2178
12086000806,"Hialeah, FL",0.2163
12086002706,"Edgewater, Miami, FL",0.2124
12086000118,"Sunny Isles Beach, FL",0.2117
12086000710,"Hialeah, FL",0.2115
12086490100,"Flagami, Miami, FL",0.2114
12086003602,"Little Havana, Miami, FL",0.2081
12086013600,"Hialeah, FL",0.2071
12086000604,"Hialeah, FL",0.207
12086001605,"Hialeah, FL",0.206
12086005704,"Flagami, Miami, FL",0.2054
12086009015,"Miami, FL",0.2036
12086005703,"Flagami, Miami, FL",0.2036
